datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PL,PLCO,3743.701,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PN,PN,1523.094,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PS,PS,4544.180,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,RECO,RECO,135.314,False
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PEP,SMECO,344.087,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,PL,UGI,86.588,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RFC,MIDATL,AE,VMEU,83.395,True
8/1/2025 7:00:00 AM,8/1/2025 3:00:00 AM,RTO,RTO,RTO,RTO,81894.096,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,AE,AECO,1068.871,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3769.417,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2910.688,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPKPT,574.297,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,AEP,AEPOPT,6450.036,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,AP,AP,4684.823,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,BC,BC,3051.803,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,CE,CE,9185.236,True
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,DAY,DAY,1590.611,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,DEOK,DEOK,2430.097,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,14746.395,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1863.207,False
8/1/2025 8:00:00 AM,8/1/2025 4:00:00 AM,RFC,WEST,DUQ,DUQ,1266.173,False
